EVENT_SOURCE,LOOKUP_VALUE,TRANSACTION_EVENT,TRANSACTION_SUB_EVENT
non-bureau booked,RTP,Inward Booked,Other
non-bureau booked,RTT,Inward Booked,Other
non-bureau booked,BDX,Inward Booked,Other
non-bureau booked,NCB,Inward Booked,Other
non-bureau booked,PAY,Inward Booked,Other
non-bureau booked,ADJ,Inward Booked,Other
non-bureau booked,PA,Inward Booked,Reinstatement
non-bureau booked,RPP,Inward Booked,Reinstatement
non-bureau booked,AP,Inward Booked,Other
non-bureau booked,PM,Inward Booked,Other
non-bureau booked,COM,Inward Booked,Other
non-bureau booked,SWP,Inward Booked,Swing
