FINTRANSCATEGORYID,DESCRIPTION,WOODWARDTYPE,WOODWARDTYPEGROUP
89,001 - Nett Premium,Premium,Premium
91,002 - Deferred Premiums Released,Premium,Premium
93,003 - Premium Reserve Retained,Premium,Premium
95,004 - Premium Reserve Released,Premium,Premium
97,005 - Premium Portfolio Incoming,Premium,Premium
99,006 - Premium Portfolio Outgoing,Premium,Premium
101,007 - Nett Reserve Interest,Claims,Claims
103,008 - Reinsurance Costs,Deduction,Deduction
105,009 - Profit Commission,Deduction,Deduction
107,010 - Nett Claims,Claims,Claims
109,011 - Claim Reserve Retained,Claims,Claims
111,012 - Claim Reserve Released,Claims,Claims
113,013 - OCA Retained,Claims,Claims
115,014 - OCA Released,Claims,Claims
117,015 - Claim Portfolio Incoming,Claims,Claims
119,016 - Claim Portfolio Outgoing,Claims,Claims
121,017 - Reinsurance Recoveries,Claims,Claims
123,040 - Premium,Premium,Premium
125,041 - Lay Up Returns,Deduction,Deduction
127,042 - Commission,Commission,Deduction
129,043 - Commission Adjustment,Commission,Deduction
131,044 - Overriding Commission,Commission,Deduction
133,045 - Premium Taxes,Tax,Tax
135,046 - Fire Brigade Charges,Other Taxes,Tax
137,047 - Other Deductions,Deduction,Deduction
139,048 - Brokerage,Brokerage,Deduction
231,050 - Returned Tax,Other Taxes,Tax
141,100 - Premium Reserve Interest,Premium,Premium
143,101 - Claim Reserve/OCA Interest,Claims,Claims
145,102 - Tax on Interest,Deduction,Deduction
147,110 - Paid Claims,Claims,Claims
149,111 - Paid Refunds,Claims,Claims
151,112 - Cash Loss,Claims,Claims
153,113 - Cash Loss Contra Entry,Claims,Claims
155,200 - Insurance Premium Tax,Tax,Tax
197,211 - Reinstatement Premium,Premium,Premium
263,Administration Allowance,Other Deductions,Deduction
253,Brokerage,Brokerage,Deduction
234,Brokerage,Brokerage,Deduction
267,Brokerage (Flat),Brokerage,Deduction
268,Brokerage (Profitability),Brokerage,Deduction
198,Brokerage payable,Brokerage,Deduction
49,Cash Amount (Broker),Cash,Cash
51,Cash Amount (Third Party),Cash,Cash
177,Cash Loss,Cash,Cash
179,Cash Loss Contra Entry,Cash,Cash
201,Cedant/Reassured expenses,Deduction,Deduction
199,Ceding payable,Premium,Premium
226,CERTIFICATE BROKERAGE,Deduction,Deduction
228,CERTIFICATE COMMISSION,Deduction,Deduction
227,CERTIFICATE IPT,Deduction,Deduction
213,Claim,Claims,Claims
185,Claim Portfolio Incoming,Claims,Claims
187,Claim Portfolio Outgoing,Claims,Claims
183,Claim Reserve Released,Claims,Claims
181,Claim Reserve Retained,Claims,Claims
254,Commission,Commission,Deduction
200,Commission,Commission,Deduction
235,Commission DO NOT USE,Commission,Deduction
239,Continuity Credit,Other Deductions,Deduction
266,Coverholder Commission,Commission,Deduction
241,CRO,Other Taxes,Tax
355,Dutch Tax ,Other Taxes,Tax
385,Federal Excise Tax,Other Deductions,Deduction
260,Fees & Expenses,Other Deductions,Deduction
255,Fire Brigade Charges,Other Deductions,Deduction
202,Fire Brigade Charges,Other Deductions,Deduction
69,Fire Brigade Taxes,Other Taxes,Tax
237,Fleeting Credit,Other Deductions,Deduction
244,French IPT,Tax,Tax
243,German IPT,Tax,Tax
313,Greek Additional Tax 12.64%,Other Taxes,Tax
314,Greek Tax - 12.4%,Other Taxes,Tax
217,Interest on premium retained,Other Deductions,Deduction
300,IPT Algeria,Tax,Tax
274,IPT American Samoa,Tax,Tax
272,IPT Angola,Tax,Tax
271,IPT Anguilla,Tax,Tax
270,IPT Antigua and Barbuda,Tax,Tax
273,IPT Argentina,Tax,Tax
276,IPT Australia,Tax,Tax
275,IPT Austria,Tax,Tax
277,IPT Azerbaijan,Tax,Tax
285,IPT Bahamas,Tax,Tax
281,IPT Bahrain,Tax,Tax
278,IPT Barbados,Tax,Tax
279,IPT Belgium,Tax,Tax
282,IPT Bermuda,Tax,Tax
283,IPT Bolivia,Tax,Tax
284,IPT Brazil,Tax,Tax
280,IPT Bulgaria,Tax,Tax
331,IPT Cambodia,Tax,Tax
286,IPT Canada,Tax,Tax
287,IPT Canada NewFoundland,Tax,Tax
288,IPT Canada Ontario,Tax,Tax
