TRANSACTION_EVENT_CODE,TRANSACTION_EVENT,TRANSACTION_SUB_EVENT
IWO,Inward Written,Other
IWR,Inward Written,Reinstatement
IWS,Inward Written,Swing
ICOS,Inward Claims,Outstanding Movement - Share
ICPM,Inward Claims,Paid - Market
ICPS,Inward Claims,Paid - Share
ICOM,Inward Claims,Outstanding Movement - Market
IBO,Inward Booked,Other
IBR,Inward Booked,Reinstatement
IBS,Inward Booked,Swing
ICAO,Inward Cash Allocated,Other
ICAR,Inward Cash Allocated,Reinstatement
ICAS,Inward Cash Allocated,Swing
IWEO,Inward Written Earned,Other
IWER,Inward Written Earned,Reinstatement
IWES,Inward Written Earned,Swing
IWEP,Inward Written Earned,Pipeline
IWERE,Inward Written Earned,RIP Estimate
IWP,Inward Written,Pipeline
IWRE,Inward Written,RIP Estimate
IAWO,Inward Accounted Written,Other
IAWR,Inward Accounted Written,Reinstatement
IAWS,Inward Accounted Written,Swing
IAWP,Inward Accounted Written,Pipeline
IAWRE,Inward Accounted Writen,RIP Estimate
